id_amc,QL,lisa_cat,lisa_rotulo,ano
4108,8.478657091784918,1,Alto-Alto (Cluster),1985
4109,2.5540469952233478,0,Não Significativo,1985
4110,1.5910018732969466,0,Não Significativo,1985
4111,0.442928221178575,0,Não Significativo,1985
4113,6.012933860163386,1,Alto-Alto (Cluster),1985
4114,0.403533593065623,0,Não Significativo,1985
4115,8.270246675058313,1,Alto-Alto (Cluster),1985
4116,8.098473567825593,1,Alto-Alto (Cluster),1985
4117,5.854169822465926,1,Alto-Alto (Cluster),1985
4118,1.056226004764893,0,Não Significativo,1985
4119,10.248760863858656,1,Alto-Alto (Cluster),1985
4121,1.9346270818139248,0,Não Significativo,1985
4122,4.636890851069633,1,Alto-Alto (Cluster),1985
4123,0.3182763960915769,0,Não Significativo,1985
4124,7.53397942730346,0,Não Significativo,1985
4125,10.078896831679828,1,Alto-Alto (Cluster),1985
4126,0.1947089888785896,3,Baixo-Baixo,1985
4127,9.031720890958924,0,Não Significativo,1985
4128,0.3592123589539754,0,Não Significativo,1985
4129,3.4724257683144617,0,Não Significativo,1985
4130,1.3846476775729522,0,Não Significativo,1985
4131,0.2662504467304536,2,Baixo-Alto,1985
4132,5.738401841393181,1,Alto-Alto (Cluster),1985
4135,2.434828280248347,2,Baixo-Alto,1985
4136,2.6277683062128654,0,Não Significativo,1985
4137,0.4369457039783451,0,Não Significativo,1985
4138,5.77888434712485,1,Alto-Alto (Cluster),1985
4139,2.186322049082019,0,Não Significativo,1985
4141,1.4979747772570955,0,Não Significativo,1985
4142,4.10054553503507,4,Alto-Baixo,1985
4143,0.4317844323381515,0,Não Significativo,1985
4145,4.319285648464807,1,Alto-Alto (Cluster),1985
4146,2.4789707888115187,2,Baixo-Alto,1985
4147,9.899917527178426,0,Não Significativo,1985
4148,2.415246100786154,0,Não Significativo,1985
4150,0.1721321995416649,0,Não Significativo,1985
4151,0.7591677997361201,0,Não Significativo,1985
4154,4.219775968031133,0,Não Significativo,1985
4155,8.501164211225744,0,Não Significativo,1985
4156,1.9883565700109107,0,Não Significativo,1985
4158,1.1123286127809435,0,Não Significativo,1985
4160,9.82370291845757,1,Alto-Alto (Cluster),1985
4161,5.3936663705071775,1,Alto-Alto (Cluster),1985
4162,11.12602541343436,1,Alto-Alto (Cluster),1985
4163,1.5285301016274595,0,Não Significativo,1985
4164,6.062798400670403,1,Alto-Alto (Cluster),1985
4165,0.4476140564909203,0,Não Significativo,1985
4166,1.501915334732029,0,Não Significativo,1985
4167,5.571967265448506,1,Alto-Alto (Cluster),1985
4168,0.1455955084051705,0,Não Significativo,1985
4169,9.418109453044352,1,Alto-Alto (Cluster),1985
4170,0.7944256789619804,0,Não Significativo,1985
4171,1.6259547216118513,0,Não Significativo,1985
4172,7.382849857854209,0,Não Significativo,1985
4173,6.685508039012931,1,Alto-Alto (Cluster),1985
4174,5.793952128347976,1,Alto-Alto (Cluster),1985
4175,7.140699942631035,1,Alto-Alto (Cluster),1985
4176,11.580310343422376,1,Alto-Alto (Cluster),1985
4177,1.5694005353292142,0,Não Significativo,1985
4178,5.941457101222785,0,Não Significativo,1985
4179,2.4624748648933643,0,Não Significativo,1985
4180,6.032085359294334,1,Alto-Alto (Cluster),1985
4181,8.849206669987298,1,Alto-Alto (Cluster),1985
4182,7.0335100413565455,1,Alto-Alto (Cluster),1985
4183,8.075201569606307,1,Alto-Alto (Cluster),1985
4184,2.7805256393399964,0,Não Significativo,1985
4185,0.4427380863766401,0,Não Significativo,1985
4187,1.6102323552465474,0,Não Significativo,1985
4188,9.952924183095332,1,Alto-Alto (Cluster),1985
4189,0.028435408792045,0,Não Significativo,1985
4190,6.02657866355233,1,Alto-Alto (Cluster),1985
4191,5.761803900778667,0,Não Significativo,1985
4192,9.521751999019846,1,Alto-Alto (Cluster),1985
4193,0.3789440618573259,0,Não Significativo,1985
4194,1.3944859405868564,0,Não Significativo,1985
4195,0.5486815905713798,0,Não Significativo,1985
4196,1.1126382811029871,0,Não Significativo,1985
4198,1.4278416267465217,0,Não Significativo,1985
4199,1.5431868353389266,0,Não Significativo,1985
4200,8.875257460605585,1,Alto-Alto (Cluster),1985
4202,7.6077348459173795,0,Não Significativo,1985
4203,4.494766679349874,1,Alto-Alto (Cluster),1985
4204,2.911556609316608,0,Não Significativo,1985
4205,0.0592801958761016,0,Não Significativo,1985
4206,6.4259869854955705,0,Não Significativo,1985
4207,3.733741317004793,0,Não Significativo,1985
4208,3.962405734256127,1,Alto-Alto (Cluster),1985
4209,5.956150529230678,0,Não Significativo,1985
4210,2.048078027131523,0,Não Significativo,1985
4211,4.331975450258036,1,Alto-Alto (Cluster),1985
4212,0.2182229090487793,0,Não Significativo,1985
4213,2.88299390846195,0,Não Significativo,1985
4214,0.6728277282360152,0,Não Significativo,1985
4215,13.938014861081388,1,Alto-Alto (Cluster),1985
4216,2.1326556594033783,0,Não Significativo,1985
4217,7.66890815242695,1,Alto-Alto (Cluster),1985
4218,7.233222802344227,0,Não Significativo,1985
4219,0.7616657130724945,0,Não Significativo,1985
4220,7.390966510581651,4,Alto-Baixo,1985
4221,1.0757999207865223,3,Baixo-Baixo,1985
4222,2.1060800991095108,2,Baixo-Alto,1985
4223,0.3820107728657934,0,Não Significativo,1985
4224,6.2305813285605645,1,Alto-Alto (Cluster),1985
4226,10.915939592072174,1,Alto-Alto (Cluster),1985
4227,0.6689852697644034,0,Não Significativo,1985
4228,7.267140055036157,0,Não Significativo,1985
4231,0.3732346568660749,0,Não Significativo,1985
4233,9.12673374222866,1,Alto-Alto (Cluster),1985
4235,5.923809346425786,1,Alto-Alto (Cluster),1985
4236,0.0098409256025852,0,Não Significativo,1985
5002,5.643482173546986,1,Alto-Alto (Cluster),1985
5004,2.534012379372628,0,Não Significativo,1985
5005,12.326298054041114,1,Alto-Alto (Cluster),1985
5006,12.404453269311343,1,Alto-Alto (Cluster),1985
5007,8.758452105511259,0,Não Significativo,1985
5008,1.7029833253445663,0,Não Significativo,1985
5009,11.549797819288148,1,Alto-Alto (Cluster),1985
5010,11.469064786098263,1,Alto-Alto (Cluster),1985
5012,3.0232436846441177,1,Alto-Alto (Cluster),1985
5014,5.370826984587847,1,Alto-Alto (Cluster),1985
5015,17.812588170044258,1,Alto-Alto (Cluster),1985
5016,7.331619651633189,1,Alto-Alto (Cluster),1985
5018,4.848557528605461,0,Não Significativo,1985
5019,1.3877071894867814,2,Baixo-Alto,1985
5020,11.87414162568124,0,Não Significativo,1985
5022,1.734330994022344,2,Baixo-Alto,1985
5023,5.7319019120308905,0,Não Significativo,1985
5025,5.3565540995536765,0,Não Significativo,1985
5027,0.2047157170667564,0,Não Significativo,1985
5029,4.199455656563581,0,Não Significativo,1985
5030,0.5084728633234008,0,Não Significativo,1985
