id_amc,ql,rendimento_kg_ha,tipologia,ano
1013,0.0,0.0,Não especializado,1985
10130,0.0,0.0,Não especializado,1985
10131,0.0,0.0,Não especializado,1985
10132,4.94953834286534,1041.6517055655297,Alta espec. / Alta produt.,1985
10133,0.0,0.0,Não especializado,1985
10134,0.0,0.0,Não especializado,1985
10135,0.0,0.0,Não especializado,1985
10136,8.474067346624308,949.5586380832283,Alta espec. / Alta produt.,1985
10137,0.0,0.0,Não especializado,1985
10138,0.0,0.0,Não especializado,1985
10139,0.0,0.0,Não especializado,1985
1014,0.0,0.0,Não especializado,1985
10140,0.039850400894624896,1650.0,Não especializado,1985
10141,0.7098750809452806,300.0,Não especializado,1985
10142,0.0,0.0,Não especializado,1985
10143,0.0,0.0,Não especializado,1985
10144,0.0,0.0,Não especializado,1985
10145,0.0,0.0,Não especializado,1985
10146,0.0,0.0,Não especializado,1985
10147,0.0,0.0,Não especializado,1985
10148,1.8265981287577377,420.0,Baixa espec. / Baixa produt.,1985
10149,0.0,0.0,Não especializado,1985
1015,0.0,0.0,Não especializado,1985
10150,3.969863617389342,989.89898989899,Baixa espec. / Alta produt.,1985
10151,0.0,0.0,Não especializado,1985
10152,0.0,0.0,Não especializado,1985
10153,0.0,0.0,Não especializado,1985
10154,0.0,0.0,Não especializado,1985
10155,0.0,0.0,Não especializado,1985
10156,0.0,0.0,Não especializado,1985
10157,0.07722892184969914,500.0,Não especializado,1985
10158,0.0,0.0,Não especializado,1985
10159,0.8253168210060775,600.0,Não especializado,1985
1016,0.0,0.0,Não especializado,1985
10160,0.0,0.0,Não especializado,1985
10161,0.0,0.0,Não especializado,1985
10162,0.0,0.0,Não especializado,1985
10163,0.0,0.0,Não especializado,1985
10164,0.0,0.0,Não especializado,1985
10165,0.0,0.0,Não especializado,1985
10166,0.0,0.0,Não especializado,1985
10167,0.0,0.0,Não especializado,1985
10168,0.0,0.0,Não especializado,1985
10169,0.0,0.0,Não especializado,1985
1017,0.0,0.0,Não especializado,1985
10170,0.7204211712384905,879.182156133829,Não especializado,1985
10171,0.0,0.0,Não especializado,1985
10172,0.0,0.0,Não especializado,1985
10173,0.0,0.0,Não especializado,1985
10174,0.0,0.0,Não especializado,1985
10175,0.0,0.0,Não especializado,1985
10176,0.0,0.0,Não especializado,1985
10177,0.0,0.0,Não especializado,1985
10178,0.0,0.0,Não especializado,1985
10179,0.0,0.0,Não especializado,1985
1018,0.0,0.0,Não especializado,1985
10180,0.0,0.0,Não especializado,1985
10181,0.0,0.0,Não especializado,1985
10182,0.0,0.0,Não especializado,1985
10183,0.0,0.0,Não especializado,1985
10184,0.0,0.0,Não especializado,1985
10185,0.0,0.0,Não especializado,1985
10186,0.0,0.0,Não especializado,1985
10187,0.0,0.0,Não especializado,1985
10188,0.0,0.0,Não especializado,1985
10189,0.0,0.0,Não especializado,1985
1019,0.0,0.0,Não especializado,1985
10190,4.003754255228484,625.1396648044692,Baixa espec. / Baixa produt.,1985
