id_amc,ano,area_colhida_ha,total_area_colhida_ha,QL
10001,1985,0.0,2115.0,0.0
10001,1996,0.0,1595.0,0.0
10001,2005,0.0,2021.0,0.0
10001,2024,0.0,731.0,0.0
10002,1985,0.0,884.0,0.0
10002,1996,0.0,2595.0,0.0
10002,2005,0.0,608.0,0.0
10002,2024,0.0,1992.0,0.0
10003,1985,0.0,756.0,0.0
10003,1996,0.0,431.0,0.0
10003,2005,0.0,534.0,0.0
10003,2024,0.0,784.0,0.0
10004,1985,700.0,52504.0,0.2664194817542807
10004,1996,0.0,120170.0,0.0
10004,2005,0.0,116826.0,0.0
10004,2024,0.0,63346.0,0.0
10005,1985,0.0,2931.0,0.0
10005,1996,0.0,4248.0,0.0
10005,2005,0.0,22760.0,0.0
10005,2024,0.0,4108.0,0.0
10006,1985,18.0,2241.0,0.16050589179606145
10006,1996,0.0,4841.0,0.0
10006,2005,30.0,1386.0,0.9700731293298455
10006,2024,0.0,1176.0,0.0
10007,1985,0.0,688.0,0.0
10007,1996,0.0,130.0,0.0
10007,2005,0.0,246.0,0.0
10007,2024,0.0,176.0,0.0
10008,1985,0.0,2153.0,0.0
10008,1996,0.0,2706.0,0.0
10008,2005,0.0,2320.0,0.0
10008,2024,0.0,1183.0,0.0
10009,1985,0.0,3575.0,0.0
10009,1996,0.0,3120.0,0.0
10009,2005,0.0,5518.0,0.0
10009,2024,0.0,3382.0,0.0
1001,1985,101.0,339405.0,0.00594652800161923
1001,1996,2452.0,304442.0,0.43455697544955685
1001,2005,0.0,386244.0,0.0
1001,2024,9862.0,1057373.0,0.424403958237705
10010,1985,0.0,450.0,0.0
10010,1996,0.0,0.0,0.0
10010,2005,0.0,175.0,0.0
10010,2024,0.0,122.0,0.0
10011,1985,0.0,1418.0,0.0
10011,1996,0.0,1859.0,0.0
10011,2005,0.0,2827.0,0.0
10011,2024,0.0,857.0,0.0
10012,1985,0.0,5717.0,0.0
10012,1996,0.0,10047.0,0.0
10012,2005,0.0,4320.0,0.0
10012,2024,0.0,145.0,0.0
10013,1985,417.0,181767.0,0.045843877774459744
10013,1996,1134.0,105941.0,0.5775369999652962
10013,2005,300.0,141146.0,0.09525748921337948
10013,2024,0.0,19513.0,0.0
10014,1985,729.0,7690.0,1.8943556557030476
10014,1996,650.0,1597.0,21.960350455196657
10014,2005,100.0,3420.0,1.3104496659368088
10014,2024,0.0,1343.0,0.0
10015,1985,0.0,18389.0,0.0
10015,1996,0.0,3810.0,0.0
10015,2005,0.0,8225.0,0.0
10015,2024,0.0,3601.0,0.0
10016,1985,0.0,27341.0,0.0
10016,1996,0.0,3489.0,0.0
10016,2005,0.0,6374.0,0.0
10016,2024,0.0,5440.0,0.0
10017,1985,0.0,1588.0,0.0
10017,1996,20.0,2738.0,0.3941190051913138
10017,2005,0.0,8668.0,0.0
10017,2024,0.0,2564.0,0.0
10018,1985,0.0,1216.0,0.0
10018,1996,0.0,534.0,0.0
10018,2005,0.0,2100.0,0.0
10018,2024,0.0,1224.0,0.0
10019,1985,0.0,24126.0,0.0
10019,1996,0.0,10390.0,0.0
10019,2005,0.0,14212.0,0.0
10019,2024,0.0,10915.0,0.0
1002,1985,0.0,3385.0,0.0
1002,1996,0.0,11472.0,0.0
1002,2005,0.0,17855.0,0.0
1002,2024,0.0,12241.0,0.0
10020,1985,0.0,4283.0,0.0
